36409250,"Taylor, D. J. (David John)",On Nineteen eighty-four : a biography,New York,Abram Press,2019
68816094,"Bennett, Annie",Animal farm AQA English literature,London,Scholastic,2020
11571095,"Bradford, Richard",Orwell : a man of our times,London,Bloomsbury,2020
64237779,"Hanley, Christopher","George Orwell and education : learning, commitment and human dependency",London,Routledge,2019
64237779,"Hanley, Christopher","George Orwell and education : learning, commitment and human dependency",London,Routledge,2019
11571095,"Bradford, Richard",Orwell : a man of our times,London,Bloomsbury,2020
10189911,"Dale, John",If George Orwell were alive today : on Nineteen eighty-four and the thrust of Orwellian political satire,Melbourne,Arden,2020
70440090,"Lynskey, Dorian",The ministry of truth : a biography of George Orwell's 1984,London,Picador,2021
18778767,"Orwell, George",Animal farm,London,Harvill Secker,2020
33093607,"Orwell, George",Nineteen eighty-four,London,Harvill Secker,2020
96312536,"Orwell, George","Orwell and the dispossessed : Down and out in Paris and London in the context of essays, reviews and letters selected from The Complete Works of George Orwell",London,Penguin,2020
12712582,"Durant, Richard",Animal farm,London,Scholastic,2020
14245723,"Orwell, George",Animal farm,London,William Collins,2021
93610277,"Orwell, George",1984,London,William Collins,2021
10850526,"Orwell, George",Nineteen eighty-four,London,William Collins,2021
14245723,"Orwell, George",Animal farm,London,William Collins,2021
80651225,"Orwell, George",Burmese days,London,William Collins,2021
12470962,"Orwell, George",Burmese days,Oxford,Oxford University Press,2021
60886847,"Orwell, George",Nineteen eighty-four,London,Penguin,2021
15449610,"Orwell, George",Animal farm : a fairy story,London,Penguin,2021
14872865,"Orwell, George",Nineteen eighty-four,London,Faber & Faber,2021
56031699,"Orwell, George",1984,London,Scholastic,2021
14749959,"Orwell, George",Animal farm,London,Scholastic,2021
10888167,"Orwell, George",Burmese days,London,Arcturus,2021
11031727,"Orwell, George",A clergyman's daughter,London,Arcturus,2021
37725052,"Orwell, George",Keep the aspidistra flying,London,Arcturus,2021
14529426,"Orwell, George",Nineteen eighty-four,London,Macmillan,2021
11285285,"Orwell, George",Animal farm,London,Macmillan,2021
12834906,"Orwell, George",Burmese days,London,Macmillan,2021
25798973,"Orwell, George",1984,London,Vintage Classics,2021
16806558,"Orwell, George",Animal farm,London,Vintage Classics,2021
10343783,"Orwell, George",1984,London,Arcturus,2021
49471813,"Orwell, George",Animal farm,London,Arcturus,2021
14245723,"Orwell, George",Animal farm,London,William Collins,2021
80651225,"Orwell, George",Burmese days,London,William Collins,2021
14872865,"Orwell, George",Nineteen eighty-four,London,Faber & Faber,2021
40569671,"Orwell, George","Animal farm : and, Nineteen eight-four",London,William Collins,2021
11816693,"Orwell, George",Coming up for air,Oxford,Oxford University Press,2021
27558293,"Orwell, George",Animal farm,Oxford,Oxford University Press,2021
15189744,"Orwell, George",Nineteen eighty-four,Oxford,Oxford University Press,2021
